Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Age_Is_Missing,Customer_Profile_Cluster,Price_Policy_Interaction,Make_Freq,Price_Policy_Interaction_Freq,Risk_Score,Action,Red_Flags
7,4,0,9,1,1,8,4,0,1,39,0,0,0,0,11,400,1,3,2,3,5,5,0,0,0,3,3,0,1994,0,0,4,0,0.15265888456549936,0.1340466926070039,51.07,🚨 INVESTIGATE,Policy Holder at Fault
4,3,3,0,1,2,5,5,1,2,45,0,6,2,5,4,400,3,3,2,3,5,5,0,0,0,3,3,0,1994,0,0,4,15,0.03060959792477302,0.05252918287937743,49.79,🚨 INVESTIGATE,Policy Holder at Fault
4,3,2,9,1,7,4,1,1,1,35,0,0,0,0,9,400,1,3,2,0,5,4,0,0,0,1,3,0,1995,0,0,4,0,0.15265888456549936,0.1340466926070039,49.68,🚨 INVESTIGATE,Policy Holder at Fault
5,5,0,0,1,1,2,2,1,1,37,0,0,0,5,16,400,4,3,2,1,5,5,0,0,0,1,3,0,1994,0,0,4,15,0.03060959792477302,0.05252918287937743,49.34,🚨 INVESTIGATE,Policy Holder at Fault
8,5,2,13,1,2,9,5,1,1,46,0,0,0,0,8,400,4,3,2,1,6,6,0,0,0,1,3,0,1994,0,0,4,0,0.24883268482490273,0.1340466926070039,48.49,🚨 INVESTIGATE,Policy Holder at Fault
5,1,2,15,1,2,6,2,1,1,29,0,0,0,1,15,400,2,3,2,1,5,4,0,0,0,3,3,0,1995,0,0,0,3,0.007003891050583658,0.04345006485084306,46.35,🚨 INVESTIGATE,Policy Holder at Fault
7,4,0,9,1,2,8,5,1,1,51,0,0,0,1,1,400,1,3,2,1,6,6,0,0,0,2,3,0,1995,0,0,3,3,0.15265888456549936,0.04345006485084306,41.97,🚨 INVESTIGATE,Policy Holder at Fault
8,1,0,2,1,1,9,3,0,1,63,0,0,0,5,4,400,4,3,2,3,3,7,0,0,0,3,3,0,1994,0,0,3,15,0.10901426718547341,0.05252918287937743,40.97,🚨 INVESTIGATE,Policy Holder at Fault
2,1,4,6,1,7,3,4,0,1,50,0,1,0,1,8,400,2,3,2,3,4,6,0,0,0,3,3,0,1994,1,0,4,4,0.18164721141374837,0.08988326848249027,40.56,🚨 INVESTIGATE,Policy Holder at Fault
4,3,2,9,1,6,5,3,1,1,40,0,1,0,1,2,400,1,3,2,1,5,5,0,0,0,3,3,0,1996,1,0,4,4,0.15265888456549936,0.08988326848249027,39.01,🚨 INVESTIGATE,Policy Holder at Fault
10,2,6,17,1,5,11,4,1,1,34,0,0,0,0,13,400,2,3,2,0,5,4,0,0,0,2,3,0,1996,0,0,0,0,0.20239948119325551,0.1340466926070039,37.71,🚨 INVESTIGATE,Policy Holder at Fault
9,2,3,17,1,2,10,3,1,2,23,0,0,0,4,12,400,2,3,2,0,3,3,0,0,0,2,3,0,1994,0,0,0,12,0.20239948119325551,0.04974059662775616,37.12,🚨 INVESTIGATE,Policy Holder at Fault
5,3,4,17,1,7,2,3,0,1,31,0,0,0,4,14,400,4,3,2,3,5,4,0,0,0,2,3,0,1995,0,0,0,12,0.20239948119325551,0.04974059662775616,36.36,🚨 INVESTIGATE,Policy Holder at Fault
3,3,5,13,1,7,4,3,0,2,41,0,1,0,0,1,400,3,3,2,1,5,5,0,0,0,2,3,0,1995,1,0,4,1,0.24883268482490273,0.2188715953307393,33.35,🚨 INVESTIGATE,Policy Holder at Fault
0,1,6,6,1,6,1,3,1,2,43,0,1,0,0,3,400,3,3,2,1,5,5,0,0,0,0,3,0,1995,1,0,4,1,0.18164721141374837,0.2188715953307393,31.04,🚨 INVESTIGATE,Policy Holder at Fault
7,3,3,9,0,2,8,3,1,1,37,0,1,0,0,15,400,4,3,2,0,5,5,0,0,0,1,3,0,1994,1,0,4,1,0.15265888456549936,0.2188715953307393,29.39,🚨 INVESTIGATE,Policy Holder at Fault
5,4,3,13,1,2,6,4,1,1,36,0,1,0,0,12,400,3,3,2,1,5,5,0,0,0,3,3,0,1995,1,0,4,1,0.24883268482490273,0.2188715953307393,29.21,🚨 INVESTIGATE,Policy Holder at Fault
8,4,4,13,1,5,9,4,1,1,42,0,1,0,0,14,400,1,3,2,3,5,5,0,0,0,3,3,0,1994,1,0,4,1,0.24883268482490273,0.2188715953307393,28.86,🚨 INVESTIGATE,Policy Holder at Fault
7,1,3,18,1,2,8,3,0,2,40,0,0,0,0,9,400,1,3,2,3,5,5,0,0,0,3,0,0,1995,0,0,4,0,0.018352788586251622,0.1340466926070039,26.86,🚨 INVESTIGATE,Policy Holder at Fault
9,4,1,13,1,6,10,4,1,1,73,0,1,0,1,11,400,2,3,2,3,6,8,0,0,0,3,3,0,1996,1,0,3,4,0.24883268482490273,0.08988326848249027,24.54,✅ AUTO-APPROVE,Policy Holder at Fault
2,3,3,9,1,2,3,3,1,1,57,0,1,0,0,15,400,1,3,2,3,6,7,0,0,0,2,3,0,1994,1,0,3,1,0.15265888456549936,0.2188715953307393,24.43,✅ AUTO-APPROVE,Policy Holder at Fault
5,4,2,17,1,5,4,4,1,1,76,0,0,0,4,12,400,3,3,2,3,6,8,0,0,0,0,3,0,1995,0,0,3,12,0.20239948119325551,0.04974059662775616,16.98,✅ AUTO-APPROVE,Policy Holder at Fault
9,1,6,13,1,6,10,2,1,1,80,0,2,1,1,16,400,2,3,2,1,6,8,0,0,0,0,3,0,1996,2,0,3,5,0.24883268482490273,0.09578469520103762,14.21,✅ AUTO-APPROVE,Policy Holder at Fault
11,3,2,17,1,2,12,3,1,1,50,0,2,1,1,9,400,1,3,2,0,6,6,0,0,0,2,3,0,1995,2,0,4,5,0.20239948119325551,0.09578469520103762,8.2,✅ AUTO-APPROVE,Policy Holder at Fault
8,1,0,13,1,2,9,2,1,1,37,1,0,0,4,6,400,4,3,2,3,6,5,0,0,0,3,3,0,1995,0,0,4,12,0.24883268482490273,0.04974059662775616,7.37,✅ AUTO-APPROVE,Routine Claim
5,3,6,17,1,5,6,3,1,1,76,1,0,0,0,13,400,3,3,2,0,6,8,0,0,0,2,3,0,1994,0,0,3,0,0.20239948119325551,0.1340466926070039,6.43,✅ AUTO-APPROVE,Routine Claim
2,4,0,5,0,7,3,4,1,1,36,1,6,2,5,5,400,3,3,2,3,5,5,0,0,0,0,3,0,1994,0,0,4,15,0.029182879377431907,0.05252918287937743,6.27,✅ AUTO-APPROVE,Routine Claim
7,5,6,17,1,7,1,1,1,1,54,0,2,1,1,5,400,2,3,2,0,6,6,0,0,0,1,3,0,1996,2,0,3,5,0.20239948119325551,0.09578469520103762,6.2,✅ AUTO-APPROVE,Policy Holder at Fault
8,1,4,13,1,2,9,2,1,1,47,1,0,0,0,5,400,1,3,2,3,6,6,0,0,0,3,3,0,1994,0,0,4,0,0.24883268482490273,0.1340466926070039,6.05,✅ AUTO-APPROVE,Routine Claim
2,2,6,13,1,1,3,3,0,2,27,1,1,0,0,5,400,4,3,2,3,4,4,1,0,0,0,3,0,1994,1,0,0,1,0.24883268482490273,0.2188715953307393,5.05,✅ AUTO-APPROVE,Routine Claim
5,2,3,17,1,6,6,2,1,1,50,1,0,0,4,16,400,3,3,2,3,6,6,0,0,0,2,3,0,1996,0,0,4,12,0.20239948119325551,0.04974059662775616,5.05,✅ AUTO-APPROVE,Routine Claim
7,5,4,2,1,2,1,1,1,1,42,0,2,1,1,14,400,2,3,2,3,0,5,0,0,0,3,2,1,1996,2,0,4,5,0.10901426718547341,0.09578469520103762,5.04,✅ AUTO-APPROVE,Policy Holder at Fault
0,4,5,9,1,6,9,1,0,1,52,1,1,0,0,16,400,4,3,2,0,5,6,0,0,0,3,3,0,1994,1,0,3,1,0.15265888456549936,0.2188715953307393,5.03,✅ AUTO-APPROVE,Routine Claim
6,3,4,13,1,5,7,3,0,1,33,1,0,0,0,9,400,1,3,2,0,4,4,0,0,0,3,3,0,1994,0,0,0,0,0.24883268482490273,0.1340466926070039,4.93,✅ AUTO-APPROVE,Routine Claim
7,2,3,5,1,2,8,3,1,1,52,0,2,1,3,5,400,3,3,2,1,4,6,0,0,0,0,3,0,1994,2,0,3,11,0.029182879377431907,0.002723735408560311,4.81,✅ AUTO-APPROVE,Policy Holder at Fault
9,4,6,17,1,2,3,1,1,1,29,1,0,0,0,13,400,1,3,2,3,5,4,0,0,0,3,3,0,1994,0,0,0,0,0.20239948119325551,0.1340466926070039,4.32,✅ AUTO-APPROVE,Routine Claim
9,1,4,17,1,2,10,2,1,2,31,1,1,0,0,3,400,2,3,2,0,3,4,0,0,0,3,3,0,1995,1,0,0,1,0.20239948119325551,0.2188715953307393,4.24,✅ AUTO-APPROVE,Routine Claim
3,4,3,17,1,7,8,1,1,1,49,1,1,0,0,2,400,3,3,2,3,4,6,0,0,0,2,3,0,1994,1,0,4,1,0.20239948119325551,0.2188715953307393,4.04,✅ AUTO-APPROVE,Routine Claim
1,2,1,9,1,6,2,2,1,1,37,0,2,1,0,4,400,2,3,2,3,5,5,0,0,0,3,3,0,1994,2,0,4,2,0.15265888456549936,0.17101167315175098,3.69,✅ AUTO-APPROVE,Policy Holder at Fault
1,3,2,6,1,7,2,5,1,1,33,1,1,0,0,3,400,1,3,2,1,5,4,0,0,0,3,3,0,1994,1,0,0,1,0.18164721141374837,0.2188715953307393,3.2,✅ AUTO-APPROVE,Routine Claim
11,2,5,2,1,6,12,4,0,1,29,0,2,1,0,8,400,1,3,2,0,4,4,0,0,0,1,3,0,1994,2,0,0,2,0.10901426718547341,0.17101167315175098,3.06,✅ AUTO-APPROVE,Policy Holder at Fault
11,2,4,13,1,5,12,3,1,1,43,0,2,1,1,2,700,1,3,2,0,5,5,0,0,0,2,3,0,1994,2,0,1,5,0.24883268482490273,0.09578469520103762,2.99,✅ AUTO-APPROVE,"Policy Holder at Fault, High Deductible Anomaly"
6,4,0,13,1,1,6,5,1,1,30,1,1,0,0,3,400,1,3,2,3,4,4,0,0,0,1,3,0,1995,1,0,0,1,0.24883268482490273,0.2188715953307393,2.99,✅ AUTO-APPROVE,Routine Claim
6,4,1,9,1,6,7,5,1,2,32,1,1,0,0,12,400,4,3,2,1,4,4,0,0,0,3,3,0,1994,1,0,0,1,0.15265888456549936,0.2188715953307393,2.97,✅ AUTO-APPROVE,Routine Claim
10,3,2,2,1,2,11,3,1,1,48,0,2,1,0,5,400,2,3,2,1,5,6,0,0,0,3,3,0,1995,2,0,4,2,0.10901426718547341,0.17101167315175098,2.91,✅ AUTO-APPROVE,Policy Holder at Fault
1,1,1,9,1,7,2,1,1,1,31,0,2,1,1,1,400,3,3,2,0,5,4,0,0,0,2,3,0,1994,2,0,0,5,0.15265888456549936,0.09578469520103762,2.69,✅ AUTO-APPROVE,Policy Holder at Fault
2,2,3,6,1,2,3,2,1,1,26,0,2,1,0,5,400,2,3,2,1,5,4,0,0,0,2,3,0,1995,2,0,0,2,0.18164721141374837,0.17101167315175098,2.68,✅ AUTO-APPROVE,Policy Holder at Fault
5,1,4,2,1,1,6,3,1,1,41,0,2,1,0,16,400,4,3,2,3,5,5,0,0,0,3,3,0,1995,2,0,4,2,0.10901426718547341,0.17101167315175098,1.27,✅ AUTO-APPROVE,Policy Holder at Fault
7,1,2,6,1,2,8,1,1,1,52,0,2,1,1,4,400,4,3,2,1,6,6,0,0,0,2,3,0,1996,2,0,3,5,0.18164721141374837,0.09578469520103762,1.26,✅ AUTO-APPROVE,Policy Holder at Fault
10,3,2,6,1,2,11,3,0,1,27,0,2,1,0,2,400,3,3,2,0,2,4,0,0,0,2,3,0,1994,2,0,0,2,0.18164721141374837,0.17101167315175098,0.91,✅ AUTO-APPROVE,Policy Holder at Fault
